0 Sea Zone  (3029,2501)  (2865,2606)  (2835,2710)  (3061,2713)  (3171,2577)  | overflowToLeft=false
51 Sea Zone  (4661,2300)  (4599,2279)  (4671,2218)  (4729,2254)  (4505,2021)  (4524,1942)  (4593,1958)  (4761,2406)  (4882,2627)  (4881,2693)  | overflowToLeft=false
52 Sea Zone  (4330,2091)  (4400,2093)  (4348,2170)  (4426,2167)  (4441,2243)  (4450,2558)  (4521,2559)  (4448,2635)  (4528,2635)  | overflowToLeft=false
53 Sea Zone  (4023,1548)  (4091,1548)  (4021,1618)  (4094,1618)  (4170,1546)  (4171,1618)  (4094,1684)  (4173,1684)  (4246,1681)  (4098,1753)  (4177,1753)  (4256,1754)  (4182,1819)  (4260,1816)  (4224,1889)  (4294,1888)  (4338,1810)  (4368,1879)  | overflowToLeft=false
54 Sea Zone  (3131,1007)  (3197,1006)  (3272,1007)  (3129,1080)  (3196,1080)  (3272,1077)  (3128,1151)  (3198,1152)  (3272,1151)  (3348,1006)  (3346,1081)  (3344,1148)  | overflowToLeft=false
55 Sea Zone  (2637,1240)  (2703,1239)  (2773,1236)  (2635,1311)  (2706,1309)  (2781,1308)  (2631,1389)  (2710,1383)  (2785,1383)  | overflowToLeft=false
56 Sea Zone  (3153,1749)  (3215,1745)  (3145,1682)  (3213,1681)  (3141,1619)  (3211,1617)  (3135,1549)  (3204,1543)  (3129,1487)  (3199,1479)  (3127,1411)  (3193,1407)  (3273,1405)  (3274,1473)  (3284,1541)  (3288,1617)  (3355,1475)  (3359,1551)  (3365,1620)  (3425,1464)  (3429,1545)  (3436,1619)  | overflowToLeft=false
57 Sea Zone  (4023,2117)  (4094,2115)  (4166,2112)  (4017,2183)  (4092,2179)  (4166,2174)  (4019,2251)  (4096,2247)  (4164,2246)  (4101,2320)  (4172,2315)  (4235,2245)  (4238,2309)  | overflowToLeft=false
58 Sea Zone  (3840,2431)  (3906,2432)  (3839,2498)  (3908,2496)  (3839,2558)  (3911,2555)  | overflowToLeft=false
59 Sea Zone  (4099,2481)  (4170,2476)  (4240,2473)  (4101,2547)  (4178,2547)  (4250,2544)  (4105,2616)  (4180,2614)  (4248,2611)  (4098,2679)  (4181,2674)  (4255,2674)  | overflowToLeft=false
60 Sea Zone  (4530,3063)  (4593,3061)  (4531,3129)  (4596,3128)  (4426,3384)  (4491,3381)  (4429,3452)  (4495,3450)  | overflowToLeft=false
61 Sea Zone  (4175,3453)  (4228,3444)  (4202,3669)  (4154,3720)  (3978,3405)  (4330,3491)  | overflowToLeft=false
62 Sea Zone  (3948,2919)  (3979,2976)  (4005,3035)  (4009,3098)  (4009,3162)  (3882,2881)  (3814,2844)  (3998,2757)  (4068,2755)  (4138,2758)  (4146,2819)  (4224,2820)  (4212,2756)  (4122,3361)  | overflowToLeft=false
63 Sea Zone  (3610,2669)  (3677,2662)  (3612,2728)  (3682,2718)  (3600,2501)  (3666,2492)  | overflowToLeft=false
64 Sea Zone  (3833,2280)  (3832,2227)  (3778,2222)  (3808,2164)  (3780,2101)  (3719,2095)  (3717,2037)  (3663,2005)  (3599,1995)  (3646,2361)  | overflowToLeft=false
65 Sea Zone  (3361,1871)  (3422,1870)  (3488,1868)  (3360,1937)  (3429,1940)  (3494,1931)  (3356,2004)  (3430,2001)  (3355,2070)  (3287,2002)  (3288,2067)  | overflowToLeft=false
66 Sea Zone  (5470,1372)  (5529,1369)  (5587,1369)  (5471,1438)  (5538,1435)  (5395,1372)  (5393,1441)  (5393,1519)  (5468,1504)  | overflowToLeft=false
67 Sea Zone  (3730,237)  (3792,234)  (3856,233)  (3731,299)  (3790,299)  (3855,299)  (3731,363)  (3789,360)  (3854,360)  (3728,421)  (3791,421)  (3856,422)  | overflowToLeft=false
68 Sea Zone  (3132,128)  (3193,128)  (3253,125)  (3132,186)  (3192,184)  (3255,184)  (3135,248)  (3193,249)  (3259,242)  (3136,312)  (3200,310)  (3261,307)  | overflowToLeft=false
69 Sea Zone  (2361,538)  (2417,536)  (2474,532)  (2364,595)  (2420,597)  (2478,592)  (2365,656)  (2419,656)  (2481,655)  | overflowToLeft=false
70 Sea Zone  (2642,4067)  (2664,3853)  (2614,3905)  (2641,3960)  (2660,4014)  | overflowToLeft=false
Aden  (2456,4759)  (2666,4613)  (2520,4704)  (2573,4661)  (2612,4606)  | overflowToLeft=true
Afghanistan  (3005,4064)  (2921,4139)  (2980,4170)  (3061,4015)  (2993,4116)  | overflowToLeft=false
Alaska  (3308,2161)  (3296,2249)  (3173,2214)  (3161,2345)  (3140,2281)  (3200,2281)  | overflowToLeft=false
Aleutian Islands  (3652,2150)  (3592,2076)  | overflowToLeft=false
Algeria Tunisia  (1261,3720)  (1256,3788)  (1321,3788)  (1406,3862)  (1381,3929)  (1292,3949)  (1219,3949)  (1152,3950)  (1153,3883)  (1155,3820)  (1085,3818)  (1091,3880)  (1237,3872)  (1315,3873)  (1332,4014)  (1486,3891)  (1449,3961)  | overflowToLeft=false
American Convoy Zone  (776,483)  (727,483)  | overflowToLeft=false
Anglo-Egyptian Sudan  (1824,4553)  (2093,4614)  (1964,4816)  (1826,4613)  (2093,4673)  (1910,4553)  (1976,4553)  (1882,4757)  (1746,4573)  (1837,4685)  (1907,4617)  (1982,4613)  (1906,4687)  (1986,4688)  (1964,4753)  | overflowToLeft=false
Angola  (1188,4769)  (1319,4952)  (1364,4884)  (1125,4836)  (1206,4837)  (1280,4844)  (1226,4904)  | overflowToLeft=false
Archangel  (2622,3270)  (2639,3182)  (2493,3367)  (2652,3226)  (2726,3144)  (2824,3125)  (2500,3310)  (2564,3299)  (2601,3205)  (2702,3196)  | overflowToLeft=false
Argentina Chile  (1016,1140)  (1220,1076)  (1015,951)  (1015,951)  (1192,1275)  (1130,1285)  (1069,1283)  (1063,1047)  (1121,1091)  (1080,1147)  (1150,1151)  (1221,1211)  (1025,1205)  (1174,1395)  (1047,1371)  (1296,1214)  (1076,989)  (968,1235)  (1124,1341)  (1193,1335)  (1086,1219)  (1144,1222)  | overflowToLeft=false
Azores  (1203,2601)  (1248,2648)  | overflowToLeft=false
Belgian Congo  (1392,4713)  (1466,4714)  (1723,4791)  (1725,4860)  (1543,4919)  (1604,4920)  (1466,4786)  (1315,4714)  (1460,4647)  (1797,4834)  (1641,4722)  (1550,4716)  (1477,4852)  (1556,4820)  (1691,4952)  (1629,4820)  | overflowToLeft=false
Bermuda Islands  (1762,2266)  (1826,2180)  (1808,2217)  | overflowToLeft=false
Borneo Celebes  (4942,3660)  (4468,3989)  (4549,4171)  (4600,4073)  (4565,4014)  (4540,4234)  (4468,4257)  (4492,4114)  (4507,4044)  (4508,3934)  (4483,4183)  (4634,4128)  | overflowToLeft=false
Brazil  (782,1891)  (1160,1834)  (1142,1591)  (1142,1591)  (1149,1699)  (889,1614)  (948,1614)  (891,1673)  (949,1671)  (1294,1627)  (1352,1627)  (1407,1627)  (892,1738)  (951,1741)  (890,1805)  (953,1802)  (1292,1692)  (1356,1691)  (1288,1563)  (1359,1560)  (1420,1557)  (1491,1557)  (1485,1623)  (1458,1687)  (1499,1491)  (1140,1526)  (919,1541)  (992,1541)  (1063,1533)  (950,1476)  (1016,1475)  (1086,1473)  (940,1407)  (943,1344)  (1016,1603)  (1078,1603)  (1028,1741)  (1094,1731)  (1025,1805)  (1088,1799)  (1172,1769)  (1239,1781)  (1240,1711)  (1228,1633)  (1223,1568)  (1141,1645)  (889,1867)  | overflowToLeft=false
British Convoy Zone  (472,782)  (424,782)  | overflowToLeft=false
British East Africa  (2149,5063)  (2009,5113)  (1812,5006)  (1867,4988)  (2063,5064)  (2125,5022)  (2132,4955)  (2200,4992)  (1905,4897)  (2006,5051)  (1937,5030)  (1933,5096)  (2058,5000)  | overflowToLeft=false
British West Africa  (450,3749)  (803,4013)  (740,4047)  (794,4078)  (501,3768)  (848,4065)  | overflowToLeft=false
Nigeria  (930,4211)  (1019,4266)  (1176,4337)  (1249,4343)  (1088,4228)  (1021,4199)  | overflowToLeft=false
British West Indies  (1496,1873)  (1371,1779)  | overflowToLeft=false
Burma  (3812,4236)  (3777,4202)  (3716,4070)  (3789,4085)  (3719,4137)  (3782,4137)  | overflowToLeft=false
Buryatia  (3479,3163)  (3537,2992)  (3519,3060)  (3484,3126)  (3473,3255)  (3469,3190)  | overflowToLeft=false
Canary Islands  (563,3362)  (600,3403)  | overflowToLeft=false
Cape Verde Islands  (588,2863)  (536,2905)  | overflowToLeft=false
Caroline Islands  (4645,2503)  (4693,2536)  | overflowToLeft=false
Caucasus  (7092,2062)  (2518,3888)  (2599,3774)  (2599,3774)  (2463,3878)  (2553,3946)  (2589,3998)  (2536,3997)  (2555,4051)  (2475,3946)  (2578,3826)  | overflowToLeft=false
Central America  (1906,1593)  (1940,1582)  (1962,1524)  (2206,1532)  (2127,1590)  (2099,1528)  (2027,1511)  | overflowToLeft=false
Central United States  (2629,1744)  (2350,1747)  (2701,1846)  (2701,1846)  (2516,1757)  (2519,1820)  (2452,1758)  (2455,1822)  (2523,1889)  (2535,1690)  (2592,1927)  (2654,1925)  (2717,1921)  (2781,1913)  (2781,1851)  (2840,1912)  (2728,1790)  (2728,1730)  (2673,1688)  (2600,1689)  (2583,1870)  (2574,1812)  (2637,1806)  (2639,1864)  | overflowToLeft=false
Ceylon  (3513,4629)  (3471,4653)  (3489,4702)  | overflowToLeft=false
Chinese Convoy Zone  (5018,5737)  (5063,5737)  | overflowToLeft=false
Chosen  (3925,3255)  (4040,3248)  (3920,3199)  | overflowToLeft=false
Colombia Ecuador  (1661,1632)  (1806,1641)  (1761,1539)  (1793,1424)  (1679,1555)  (1817,1583)  | overflowToLeft=false
Venezuela  (1539,1783)  (1693,1719)  (1583,1695)  (1639,1734)  (1588,1749)  (1529,1729)  | overflowToLeft=true
Commonwealth Convoy Zone  (1122,182)  (1075,182)  | overflowToLeft=false
Denmark  (2021,3304)  (1977,3216)  | overflowToLeft=false
Dutch East Indies  (4673,4327)  (3891,4525)  (4339,4525)  (4395,4504)  (4529,4461)  (4589,4400)  (4651,4349)  (4838,4189)  (4925,4063)  (5017,3946)  (4011,4539)  (4075,4545)  (4143,4547)  (4199,4541)  (4258,4536)  | overflowToLeft=false
Eastern Australia  (6572,4582)  (5802,2921)  (5905,3237)  (5445,3028)  (5727,2986)  (5727,2986)  (5663,2986)  (5743,3156)  (5803,3155)  (5863,3154)  (5742,3218)  (5802,3218)  (5683,3217)  (5621,3218)  (5562,3218)  (5619,3160)  (5561,3160)  (5560,3100)  (5559,3042)  (5501,3098)  (5503,3160)  (5560,3280)  (5727,2928)  (5661,2925)  (5802,3276)  (5801,3096)  (5858,3094)  | overflowToLeft=false
Eastern Canada  (7093,4583)  (2142,2178)  (2093,2343)  (2366,2083)  (2366,2083)  (2483,2083)  (2542,2081)  (2392,2251)  (2466,2263)  (2422,2080)  (2293,2205)  (2293,2286)  (2405,2185)  (2143,2293)  | overflowToLeft=false
Eastern United States  (7092,3502)  (2336,1830)  (2187,1963)  (2214,2035)  (2387,1964)  (2387,1964)  (2287,1950)  (2212,2134)  (2220,2084)  (2263,2038)  (2163,1792)  (2212,1809)  (2261,1816)  (2403,1902)  (2473,1965)  (2237,1957)  (2237,1906)  (2286,1898)  (2341,1888)  (2339,1941)  | overflowToLeft=false
Egypt  (7092,2783)  (2051,4341)  (2103,4439)  (1900,4332)  (1864,4394)  (2038,4421)  (2043,4482)  (1980,4466)  (1896,4446)  (1978,4398)  (1920,4389)  | overflowToLeft=false
Evenkia  (3180,3127)  (3209,3254)  (3236,3313)  (3272,3131)  (3074,2970)  (3141,2977)  (3088,3037)  (3155,3043)  (3076,3162)  (3112,3231)  (3215,3184)  (3156,3106)  (3145,3170)  | overflowToLeft=false
Fiji Islands  (5163,1606)  (5206,1543)  | overflowToLeft=false
Finland  (2393,3142)  (2416,3208)  (2323,3218)  (2438,3098)  (2456,3045)  (2470,2984)  (2336,3165)  | overflowToLeft=false
Formosa  (4197,3588)  (4235,3510)  (4254,3550)  | overflowToLeft=false
France  (6574,1702)  (1737,3402)  (1539,3327)  (1527,3259)  (1706,3319)  (1706,3319)  (1645,3384)  (1563,3386)  (1510,3423)  (1573,3313)  (1742,3461)  (1679,3436)  (1641,3324)  | overflowToLeft=false
French Convoy Zone  (464,5273)  (418,5274)  | overflowToLeft=false
French Equatorial Africa  (1215,4475)  (1275,4475)  (1216,4541)  (1279,4541)  (1135,4509)  (1575,4426)  (1578,4495)  (1579,4565)  (1639,4619)  (1543,4359)  (1469,4354)  (1367,4431)  (1444,4429)  (1362,4505)  (1439,4503)  | overflowToLeft=false
French Indo-China  (4186,4108)  (4098,4047)  (4132,4105)  (4118,4160)  (3980,4009)  (3941,3942)  (3905,4002)  | overflowToLeft=false
French West Africa  (496,3578)  (867,3865)  (937,3866)  (869,3942)  (943,3941)  (943,4019)  (611,3705)  (678,3704)  (749,3706)  (653,3928)  (714,3926)  (1148,4101)  (1218,4100)  (1187,4171)  (1263,4172)  (1335,4173)  (1320,4251)  (1389,4249)  (923,4103)  (1020,4083)  (1019,4009)  (933,3786)  (851,3782)  (841,3711)  (654,3641)  | overflowToLeft=false
French West Indies  (1551,1936)  (1310,1826)  | overflowToLeft=true
Fukien  (3961,3687)  (3974,3752)  (3965,3821)  (4083,3495)  (4082,3555)  (4081,3623)  (4014,3630)  | overflowToLeft=false
German Convoy Zone  (762,5573)  (714,5574)  | overflowToLeft=false
Germany  (6572,1342)  (1801,3434)  (1954,3301)  (1978,3361)  (1978,3361)  (1928,3435)  (1872,3518)  (1821,3517)  (1941,3501)  (1844,3379)  (2027,3403)  (1890,3593)  (1944,3553)  (1998,3516)  (1977,3435)  (1865,3439)  (1900,3324)  (1907,3379)  | overflowToLeft=false
Gibraltar  (1002,3500)  (1070,3522)  (1048,3576)  | overflowToLeft=false
Greater Antilles  (1958,1758)  (2008,1729)  (2092,1709)  (1864,1783)  | overflowToLeft=false
Greece  (1932,3958)  (1928,4060)  (1874,4141)  (1883,4049)  (1935,4024)  (1975,3949)  (1889,4142)  (1901,3974)  | overflowToLeft=false
Greenland  (2303,2454)  (2463,2550)  (2405,2496)  (2601,2639)  (2663,2652)  (2658,2599)  (2456,2601)  (2515,2553)  (2348,2467)  (2585,2580)  (2521,2619)  | overflowToLeft=false
Hainan  (4176,3885)  (4106,3901)  (4104,3930)  | overflowToLeft=false
Hawaiian Islands  (7092,4223)  (3790,1472)  (3744,1375)  (3825,1534)  (3750,1309)  | overflowToLeft=false
Holland Belgium  (1778,3390)  (1793,3339)  (1855,3292)  (1808,3292)  | overflowToLeft=false
Honan  (3789,3517)  (3793,3635)  (3869,3623)  (3927,3608)  (3757,3569)  (3760,3463)  (3863,3537)  (3815,3581)  | overflowToLeft=false
Hungary Slovakia  (1978,3649)  (2066,3687)  (2101,3740)  (2011,3674)  (2003,3622)  (1949,3664)  | overflowToLeft=false
Iceland  (2205,2644)  (2254,2669)  | overflowToLeft=false
India  (7093,3142)  (3127,4441)  (3373,4580)  (3288,4359)  (3288,4359)  (3228,4359)  (3228,4422)  (3288,4422)  (3258,4486)  (3101,4190)  (3162,4191)  (3370,4177)  (3430,4174)  (3495,4172)  (3372,4240)  (3435,4237)  (3104,4256)  (3162,4253)  (3012,4252)  (3010,4312)  (3259,4554)  (3321,4552)  (3307,4627)  (3366,4350)  (3365,4404)  (3153,3987)  (3152,4052)  (3147,4112)  (3235,4172)  (3294,4170)  (3236,4235)  (3296,4233)  (3230,4297)  (3289,4296)  (3357,4294)  (3162,4364)  (3165,4423)  | overflowToLeft=false
Inner Mongolia  (3676,3490)  (3611,3559)  (3673,3564)  (3680,3422)  (3693,3348)  | overflowToLeft=false
Iran  (2850,4255)  (2860,4313)  (2754,4122)  (2816,4122)  (2606,4166)  (2617,4226)  (2714,4283)  (2693,4206)  (2760,4204)  (2831,4187)  (2779,4275)  | overflowToLeft=false
Iraq  (2569,4268)  (2498,4194)  (2502,4330)  (2436,4308)  (2499,4260)  | overflowToLeft=false
Ireland  (1670,2847)  (1609,2884)  (1664,2898)  (1721,2822)  | overflowToLeft=false
Italian Convoy Zone  (1111,5873)  (1064,5873)  | overflowToLeft=false
